pct_tested_positive_14d	tested_positive_14d_se	pct_tested_positive_14d_unw	tested_positive_14d_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.039104	0.014243	0.046809	0.013779	235.0	Spain	ESP	ESP	20210321
0.086252	0.025233	0.068182	0.016994	220.0	Spain	ESP	ESP	20210322
0.08774	0.027	0.089005	0.020604	191.0	Spain	ESP	ESP	20210323
0.059604	0.019427	0.05042	0.014183	238.0	Spain	ESP	ESP	20210324
0.079526	0.02409	0.071429	0.01909	182.0	Spain	ESP	ESP	20210325
0.089637	0.021214	0.08658	0.018503	231.0	Spain	ESP	ESP	20210326
0.115243	0.027232	0.089686	0.019134	223.0	Spain	ESP	ESP	20210327
0.066732	0.017745	0.068085	0.016432	235.0	Spain	ESP	ESP	20210328
0.073586	0.023422	0.061135	0.015832	229.0	Spain	ESP	ESP	20210329
0.077669	0.023675	0.0625	0.017469	192.0	Spain	ESP	ESP	20210330
0.080518	0.018608	0.09434	0.020075	212.0	Spain	ESP	ESP	20210331
0.081427	0.017215	0.095588	0.017828	272.0	Spain	ESP	ESP	20210401
0.134406	0.02305	0.154812	0.023398	239.0	Spain	ESP	ESP	20210402
0.057006	0.017899	0.055336	0.014374	253.0	Spain	ESP	ESP	20210403
0.081145	0.022781	0.073733	0.017741	217.0	Spain	ESP	ESP	20210404
0.133437	0.025408	0.129032	0.021287	248.0	Spain	ESP	ESP	20210405
0.093909	0.022236	0.09292	0.019312	226.0	Spain	ESP	ESP	20210406
0.098887	0.024655	0.105769	0.021324	208.0	Spain	ESP	ESP	20210407
0.077886	0.018145	0.093023	0.01981	215.0	Spain	ESP	ESP	20210408
0.072734	0.019284	0.078049	0.018735	205.0	Spain	ESP	ESP	20210409
0.115993	0.024938	0.100402	0.019046	249.0	Spain	ESP	ESP	20210410
0.092705	0.027729	0.086758	0.019021	219.0	Spain	ESP	ESP	20210411
0.080312	0.019995	0.097561	0.020724	205.0	Spain	ESP	ESP	20210412
0.116743	0.023817	0.117409	0.020482	247.0	Spain	ESP	ESP	20210413
0.108218	0.023592	0.120192	0.022548	208.0	Spain	ESP	ESP	20210414
0.100964	0.023461	0.102679	0.020281	224.0	Spain	ESP	ESP	20210415
0.144106	0.029624	0.135922	0.023877	206.0	Spain	ESP	ESP	20210416
0.053252	0.015499	0.059633	0.016039	218.0	Spain	ESP	ESP	20210417
0.074841	0.017899	0.08642	0.018025	243.0	Spain	ESP	ESP	20210418
0.068387	0.017756	0.069565	0.016775	230.0	Spain	ESP	ESP	20210419
0.079465	0.024561	0.07772	0.019272	193.0	Spain	ESP	ESP	20210420
0.132902	0.036971	0.109589	0.021108	219.0	Spain	ESP	ESP	20210421
0.11928	0.031352	0.085973	0.018857	221.0	Spain	ESP	ESP	20210422
0.161178	0.032091	0.139303	0.024424	201.0	Spain	ESP	ESP	20210423
0.116853	0.033435	0.106796	0.021519	206.0	Spain	ESP	ESP	20210424
0.095168	0.021245	0.106838	0.020194	234.0	Spain	ESP	ESP	20210425
0.103898	0.025709	0.097561	0.020724	205.0	Spain	ESP	ESP	20210426
0.096719	0.022946	0.096618	0.020534	207.0	Spain	ESP	ESP	20210427
0.155591	0.028495	0.171875	0.027227	192.0	Spain	ESP	ESP	20210428
0.090125	0.022977	0.08377	0.020046	191.0	Spain	ESP	ESP	20210429
0.106039	0.028509	0.089385	0.021324	179.0	Spain	ESP	ESP	20210430
0.100309	0.020785	0.123223	0.022628	211.0	Spain	ESP	ESP	20210501
0.083221	0.02301	0.081633	0.019557	196.0	Spain	ESP	ESP	20210502
0.06141	0.017547	0.069444	0.017297	216.0	Spain	ESP	ESP	20210503
0.11648	0.026021	0.119617	0.022447	209.0	Spain	ESP	ESP	20210504
0.072398	0.02071	0.079096	0.020286	177.0	Spain	ESP	ESP	20210505
0.150426	0.028391	0.14486	0.024059	214.0	Spain	ESP	ESP	20210506
0.064999	0.0171	0.081633	0.019557	196.0	Spain	ESP	ESP	20210507
0.16394	0.032212	0.138249	0.023431	217.0	Spain	ESP	ESP	20210508
0.066867	0.019729	0.065421	0.016903	214.0	Spain	ESP	ESP	20210509
0.063874	0.016699	0.071429	0.017208	224.0	Spain	ESP	ESP	20210510
0.095149	0.021361	0.103286	0.020853	213.0	Spain	ESP	ESP	20210511
0.049725	0.016764	0.056497	0.017354	177.0	Spain	ESP	ESP	20210512
					Spain	ESP	ESP	20210513
					Spain	ESP	ESP	20210514
					Spain	ESP	ESP	20210515
					Spain	ESP	ESP	20210516
0.05231	0.017733	0.055866	0.017166	179.0	Spain	ESP	ESP	20210517
0.11701	0.025809	0.123596	0.024669	178.0	Spain	ESP	ESP	20210518
					Spain	ESP	ESP	20210519
					Spain	ESP	ESP	20210520
					Spain	ESP	ESP	20210521
					Spain	ESP	ESP	20210522
					Spain	ESP	ESP	20210523
					Spain	ESP	ESP	20210524
					Spain	ESP	ESP	20210525
					Spain	ESP	ESP	20210526
					Spain	ESP	ESP	20210527
					Spain	ESP	ESP	20210528
					Spain	ESP	ESP	20210529
					Spain	ESP	ESP	20210530
					Spain	ESP	ESP	20210531
					Spain	ESP	ESP	20210601
					Spain	ESP	ESP	20210602
					Spain	ESP	ESP	20210603
					Spain	ESP	ESP	20210604
					Spain	ESP	ESP	20210605
					Spain	ESP	ESP	20210606
					Spain	ESP	ESP	20210607
					Spain	ESP	ESP	20210608
					Spain	ESP	ESP	20210609
					Spain	ESP	ESP	20210610
					Spain	ESP	ESP	20210611
					Spain	ESP	ESP	20210612
					Spain	ESP	ESP	20210613
					Spain	ESP	ESP	20210614
					Spain	ESP	ESP	20210615
					Spain	ESP	ESP	20210616
					Spain	ESP	ESP	20210617
					Spain	ESP	ESP	20210618
					Spain	ESP	ESP	20210619
					Spain	ESP	ESP	20210620
					Spain	ESP	ESP	20210621
					Spain	ESP	ESP	20210622
					Spain	ESP	ESP	20210623
					Spain	ESP	ESP	20210624
					Spain	ESP	ESP	20210625
					Spain	ESP	ESP	20210626
					Spain	ESP	ESP	20210627
					Spain	ESP	ESP	20210628
					Spain	ESP	ESP	20210629
					Spain	ESP	ESP	20210630
					Spain	ESP	ESP	20210701
					Spain	ESP	ESP	20210702
					Spain	ESP	ESP	20210703
					Spain	ESP	ESP	20210704
					Spain	ESP	ESP	20210705
					Spain	ESP	ESP	20210706
					Spain	ESP	ESP	20210707
					Spain	ESP	ESP	20210708
					Spain	ESP	ESP	20210709
					Spain	ESP	ESP	20210710
					Spain	ESP	ESP	20210711
					Spain	ESP	ESP	20210712
					Spain	ESP	ESP	20210713
					Spain	ESP	ESP	20210714
					Spain	ESP	ESP	20210715
					Spain	ESP	ESP	20210716
					Spain	ESP	ESP	20210717
					Spain	ESP	ESP	20210718
					Spain	ESP	ESP	20210719
					Spain	ESP	ESP	20210720
					Spain	ESP	ESP	20210721
					Spain	ESP	ESP	20210722
					Spain	ESP	ESP	20210723
					Spain	ESP	ESP	20210724
					Spain	ESP	ESP	20210725
					Spain	ESP	ESP	20210726
					Spain	ESP	ESP	20210727
					Spain	ESP	ESP	20210728
					Spain	ESP	ESP	20210729
					Spain	ESP	ESP	20210730
					Spain	ESP	ESP	20210731
					Spain	ESP	ESP	20210801
					Spain	ESP	ESP	20210802
					Spain	ESP	ESP	20210803
					Spain	ESP	ESP	20210804
					Spain	ESP	ESP	20210805
					Spain	ESP	ESP	20210806
					Spain	ESP	ESP	20210807
					Spain	ESP	ESP	20210808
					Spain	ESP	ESP	20210809
					Spain	ESP	ESP	20210810
					Spain	ESP	ESP	20210811
					Spain	ESP	ESP	20210812
					Spain	ESP	ESP	20210813
					Spain	ESP	ESP	20210814
					Spain	ESP	ESP	20210815
					Spain	ESP	ESP	20210816
					Spain	ESP	ESP	20210817
					Spain	ESP	ESP	20210818
					Spain	ESP	ESP	20210819
					Spain	ESP	ESP	20210820
					Spain	ESP	ESP	20210821
					Spain	ESP	ESP	20210822
					Spain	ESP	ESP	20210823
					Spain	ESP	ESP	20210824
					Spain	ESP	ESP	20210825
					Spain	ESP	ESP	20210826
					Spain	ESP	ESP	20210827
					Spain	ESP	ESP	20210828
					Spain	ESP	ESP	20210829
					Spain	ESP	ESP	20210830
					Spain	ESP	ESP	20210831
					Spain	ESP	ESP	20210901
